Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
LAX,RNO,Los Angeles CA,Reno NV,3956,4797,41,390,2/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,4608,6201,53,390,7/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1541,2440,20,390,11/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3924,4619,31,1406,2/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,6842,10823,79,390,2/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3694,4172,28,1406,8/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,1919,4500,30,1406,11/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3071,4650,31,1406,7/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,4208,4619,31,1406,7/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,2909,4050,27,1406,8/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,49,122,1,390,2/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3361,4050,27,1406,3/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3321,4650,31,1406,4/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,1082,2250,15,1406,9/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,1003,1490,10,1406,9/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,5,134,1,390,10/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1612,3050,25,390,10/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,3946,9042,66,390,10/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,8036,14000,100,390,10/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1667,3552,24,390,10/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,40,122,1,390,8/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,8655,12604,92,390,8/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,12437,19320,138,390,8/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,453,592,4,390,8/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,2516,3861,33,390,10/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,5134,6903,59,390,8/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,7884,12056,88,390,3/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,38,122,1,390,3/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,118,122,1,390,10/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,4563,5066,34,1406,3/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,9453,15540,111,390,3/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,5968,8541,73,390,3/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
SAT,RNO,San Antonio TX,Reno NV,6,150,1,1391,12/1/1998,1650418,315959,29.53370094,-98.46980286,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,2729,5100,34,1406,1/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3827,4321,29,1406,6/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,312,592,4,390,3/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
